collectID,relationship,collectLevel
1121,藏品等级,三级
1122,藏品等级,二级
1123,藏品等级,三级
1124,藏品等级,三级
1125,藏品等级,三级
1126,藏品等级,二级
1127,藏品等级,三级
1128,藏品等级,三级
1129,藏品等级,二级
1130,藏品等级,三级
1131,藏品等级,二级
1132,藏品等级,三级
1133,藏品等级,三级
1134,藏品等级,三级
1135,藏品等级,二级
1136,藏品等级,三级
1137,藏品等级,二级
1138,藏品等级,三级
1139,藏品等级,二级
1140,藏品等级,三级
1141,藏品等级,三级
1142,藏品等级,三级
1143,藏品等级,二级
1144,藏品等级,二级
1145,藏品等级,三级
1146,藏品等级,二级
1147,藏品等级,三级
1148,藏品等级,二级
1149,藏品等级,三级
1150,藏品等级,三级
1151,藏品等级,二级
1152,藏品等级,二级
1153,藏品等级,三级
1154,藏品等级,三级
1155,藏品等级,三级
1156,藏品等级,二级
1157,藏品等级,三级
1158,藏品等级,二级
1159,藏品等级,三级
1160,藏品等级,三级
1161,藏品等级,二级
1162,藏品等级,二级
1163,藏品等级,三级
1164,藏品等级,三级
1165,藏品等级,三级
1166,藏品等级,二级
1167,藏品等级,三级
1168,藏品等级,三级
1169,藏品等级,三级
1170,藏品等级,二级
1171,藏品等级,二级
1172,藏品等级,三级
1173,藏品等级,三级
1174,藏品等级,三级
1175,藏品等级,三级
1176,藏品等级,二级
1177,藏品等级,三级
1178,藏品等级,三级
1179,藏品等级,三级
1180,藏品等级,三级
1181,藏品等级,二级
1182,藏品等级,二级
1183,藏品等级,三级
1184,藏品等级,三级
1185,藏品等级,三级
1186,藏品等级,二级
1187,藏品等级,三级
1188,藏品等级,三级
1189,藏品等级,三级
1190,藏品等级,三级
1191,藏品等级,二级
1192,藏品等级,二级
1193,藏品等级,三级
1194,藏品等级,三级
1195,藏品等级,三级
1196,藏品等级,三级
1197,藏品等级,三级
1198,藏品等级,二级
1199,藏品等级,三级
1200,藏品等级,三级
1201,藏品等级,三级
1202,藏品等级,三级
1203,藏品等级,二级
1204,藏品等级,二级
1205,藏品等级,三级
1206,藏品等级,二级
1207,藏品等级,三级
1208,藏品等级,三级
1209,藏品等级,三级
1210,藏品等级,二级
1211,藏品等级,二级
1212,藏品等级,三级
1213,藏品等级,三级
1214,藏品等级,二级
1215,藏品等级,三级
1216,藏品等级,三级
1217,藏品等级,三级
1218,藏品等级,三级
1219,藏品等级,三级
1220,藏品等级,二级
1221,藏品等级,二级
1222,藏品等级,三级
1223,藏品等级,三级
1224,藏品等级,二级
1225,藏品等级,三级
1226,藏品等级,三级
1227,藏品等级,三级
1228,藏品等级,三级
1229,藏品等级,三级
1230,藏品等级,二级
1231,藏品等级,三级
1232,藏品等级,三级
1233,藏品等级,三级
1234,藏品等级,三级
1235,藏品等级,三级
1236,藏品等级,三级
1237,藏品等级,三级
1238,藏品等级,三级
1239,藏品等级,二级
1240,藏品等级,三级
1241,藏品等级,三级
1242,藏品等级,三级
